(29, 13)
0.889 (+/-0.000) for {'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 0.1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 0.1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 0.1, 'coef0': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 0.1, 'coef0': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 0.1, 'coef0': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 0.1, 'coef0': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 0.1, 'coef0': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 0.1, 'coef0': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 0.1, 'coef0': 10, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.997 (+/-0.012) for {'C': 0.1, 'coef0': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 0.1, 'coef0': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 0.1, 'coef0': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
0.889 (+/-0.000) for {'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}
0.979 (+/-0.015) for {'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}
0.998 (+/-0.007) for {'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}
